age,income,existing_debt,loan_amount,credit_history_years,num_late_payments,num_credit_lines,employment_years,debt_to_income,loan_to_income,default_risk
64,13951.82,9808.43,22102.1,27,4,6,9,0.703,1.584,1
44,37069.41,36640.07,8416.68,0,1,4,26,0.988,0.227,1
35,10000.0,20987.39,19141.0,10,1,2,5,2.099,1.914,1
52,55865.39,5797.61,33578.94,25,1,7,14,0.104,0.601,0
52,55665.99,0.0,1000.0,22,1,11,30,0.0,0.018,0
44,34134.36,23089.25,11632.29,17,3,13,21,0.676,0.341,0
61,60802.25,11258.2,1000.0,15,0,11,5,0.185,0.016,0
32,24350.03,13444.34,26443.71,28,2,4,32,0.552,1.086,1
59,30669.66,22661.96,34705.65,26,2,13,28,0.739,1.132,1
22,58343.81,25104.14,17799.08,17,1,9,20,0.43,0.305,0
23,36226.66,27237.1,7933.76,7,3,9,29,0.752,0.219,1
57,48746.86,3251.59,8285.04,27,2,7,20,0.067,0.17,0
37,38727.02,29258.95,16435.31,9,1,5,35,0.756,0.424,1
22,41781.38,9209.55,16389.54,25,1,3,21,0.22,0.392,0
22,42655.52,0.0,30941.98,9,1,3,19,0.0,0.725,0
48,35864.86,3215.6,11973.49,4,2,9,21,0.09,0.334,0
43,56048.99,17180.25,25220.94,9,3,9,39,0.307,0.45,0
57,37441.43,5211.86,16334.36,17,1,12,10,0.139,0.436,0
52,50313.73,14119.56,11062.92,20,2,13,30,0.281,0.22,0
53,35425.37,18382.52,16035.49,23,2,11,39,0.519,0.453,1
21,19314.03,13186.15,24038.46,5,0,4,12,0.683,1.245,1
39,68248.7,10056.46,30979.2,2,3,11,17,0.147,0.454,0
22,59990.54,2493.04,16976.32,7,0,1,21,0.042,0.283,0
64,95773.64,15219.44,5552.74,29,1,13,16,0.159,0.058,0
46,29120.54,0.0,31996.58,8,1,10,37,0.0,1.099,0
52,45820.79,8140.02,9221.97,4,1,5,24,0.178,0.201,0
26,47429.85,5722.16,23129.88,28,2,14,31,0.121,0.488,0
52,69787.39,12606.23,19702.01,1,1,8,14,0.181,0.282,0
24,39857.84,12866.7,18097.16,1,5,10,12,0.323,0.454,1
31,26579.16,24599.57,14156.28,6,0,4,25,0.926,0.533,1
37,74156.19,30834.77,27441.79,16,1,10,10,0.416,0.37,0
58,43667.0,3822.21,1000.0,9,1,10,12,0.088,0.023,0
44,67572.87,34928.33,33637.65,11,1,4,32,0.517,0.498,0
25,65243.97,7207.04,9049.91,1,1,13,36,0.11,0.139,0
54,49402.19,16725.27,24895.48,9,2,12,37,0.339,0.504,0
26,46513.73,20108.63,24260.31,19,2,14,0,0.432,0.522,1
42,42168.7,39445.83,35299.73,0,1,9,38,0.935,0.837,1
31,49696.14,9577.18,22372.99,3,1,9,26,0.193,0.45,0
36,67262.0,0.0,10050.69,12,4,7,35,0.0,0.149,0
53,34071.2,29903.79,1000.0,11,2,10,31,0.878,0.029,1
29,52176.91,6666.26,15814.36,10,1,8,14,0.128,0.303,0
26,27627.37,11384.11,1000.0,28,1,12,30,0.412,0.036,0
36,30117.88,3822.5,12458.17,9,1,12,5,0.127,0.414,1
49,49381.22,11412.96,16488.43,14,0,4,24,0.231,0.334,0
23,10796.84,6596.08,11721.01,4,0,8,17,0.611,1.086,1
40,91211.17,21764.42,20501.28,24,3,14,21,0.239,0.225,0
56,26138.8,15807.92,17166.75,16,2,6,30,0.605,0.657,1
39,49198.23,8189.45,16067.76,27,1,13,35,0.166,0.327,0
46,73364.35,24958.72,1000.0,4,1,3,8,0.34,0.014,0
23,32741.89,17549.97,4463.54,1,1,7,2,0.536,0.136,1
39,10000.0,0.0,27711.88,8,3,3,32,0.0,2.771,1
40,41101.08,24197.03,29651.08,5,0,11,26,0.589,0.721,1
52,32503.59,16848.68,1000.0,17,1,7,0,0.518,0.031,0
27,10000.0,28907.32,10223.38,13,1,5,8,2.891,1.022,1
61,55697.8,16239.17,32863.58,18,0,4,4,0.292,0.59,0
53,54141.88,7082.91,11383.53,13,1,3,14,0.131,0.21,0
60,72846.53,12957.05,18662.11,7,0,8,8,0.178,0.256,0
59,27583.55,23039.19,37301.66,16,0,4,27,0.835,1.352,1
38,18017.27,7292.63,15661.07,27,0,8,12,0.405,0.869,0
60,41865.54,10597.03,13943.37,2,1,10,23,0.253,0.333,0
21,48233.15,12783.11,18115.56,28,2,3,9,0.265,0.376,0
31,68426.99,3506.28,42240.93,9,1,10,21,0.051,0.617,0
48,78211.36,7436.77,25354.42,16,1,13,38,0.095,0.324,0
45,74289.58,16725.5,20228.98,26,1,9,21,0.225,0.272,0
43,55530.87,27024.78,13707.68,10,1,6,36,0.487,0.247,0
51,65989.99,18171.47,26465.8,7,2,5,38,0.275,0.401,0
50,37190.13,14541.39,27916.4,0,2,5,19,0.391,0.751,1
62,53367.9,6687.29,7121.86,12,0,13,9,0.125,0.133,0
55,26174.2,25951.6,28239.54,20,3,3,9,0.991,1.079,1
27,51253.71,19335.05,18186.17,3,3,2,25,0.377,0.355,0
36,51772.93,7932.7,20297.58,6,0,6,24,0.153,0.392,0
46,84442.57,23986.48,9388.53,13,1,11,27,0.284,0.111,0
22,45420.34,20595.77,15200.22,4,4,1,12,0.453,0.335,1
21,51800.86,6864.7,7638.29,23,1,14,14,0.133,0.147,0
32,54739.23,13986.22,7061.38,27,1,7,5,0.256,0.129,0
25,40903.59,10072.27,24525.08,29,1,5,11,0.246,0.6,0
57,33950.15,41335.38,15738.6,10,1,4,18,1.218,0.464,1
52,75976.23,20317.45,4404.35,16,1,9,31,0.267,0.058,0
29,30381.65,16867.62,46124.63,4,1,10,10,0.555,1.518,1
61,23441.64,19726.63,6504.14,19,2,1,37,0.842,0.277,0
55,63605.31,28791.63,33105.24,2,1,11,32,0.453,0.52,0
39,73156.3,14166.2,2282.44,4,0,4,1,0.194,0.031,0
36,40971.81,9100.91,25478.03,25,1,3,14,0.222,0.622,0
23,41278.93,23442.83,16993.28,14,0,6,35,0.568,0.412,0
40,55650.87,13250.55,12451.32,18,0,5,4,0.238,0.224,0
44,35842.95,4301.05,22360.91,15,3,7,14,0.12,0.624,1
53,34365.75,2353.14,20747.12,7,1,13,9,0.068,0.604,0
44,67591.85,30292.97,10250.42,12,0,1,16,0.448,0.152,0
31,62142.62,16316.45,9707.13,15,1,13,33,0.263,0.156,0
28,76223.18,9104.33,1113.03,2,3,5,23,0.119,0.015,0
56,24948.22,12656.65,23666.77,0,2,14,9,0.507,0.949,1
58,39950.75,23074.45,4954.34,8,1,2,29,0.578,0.124,0
60,55623.59,12065.94,20047.7,8,1,2,2,0.217,0.36,0
40,31487.58,505.8,27109.74,21,1,11,36,0.016,0.861,0
55,62833.75,18258.41,22496.66,25,1,11,2,0.291,0.358,0
45,74492.54,27083.48,11322.42,16,2,2,39,0.364,0.152,0
55,38332.84,26414.64,30905.75,23,3,9,4,0.689,0.806,1
45,50771.84,9406.7,15104.34,1,2,10,27,0.185,0.297,0
49,79112.37,27691.73,3990.07,8,0,3,13,0.35,0.05,0
38,85985.43,17129.5,16595.27,29,1,4,38,0.199,0.193,0
38,64916.03,27411.47,27041.57,23,0,5,10,0.422,0.417,0
22,61868.58,20736.87,11907.03,18,2,14,7,0.335,0.192,0
55,32925.27,0.0,30538.19,12,3,4,36,0.0,0.928,1
36,57184.19,32467.39,10756.09,4,0,4,7,0.568,0.188,0
61,61136.42,15517.84,12389.44,8,0,5,11,0.254,0.203,0
56,45792.6,20767.94,7447.05,12,1,10,14,0.454,0.163,0
53,38104.47,1559.55,28204.51,0,2,9,18,0.041,0.74,0
24,24374.05,20053.27,19361.09,24,1,12,27,0.823,0.794,1
53,15245.4,26029.28,8242.86,14,2,9,6,1.707,0.541,1
34,11042.33,34353.2,15245.48,3,3,14,39,3.111,1.381,1
41,61588.85,29004.0,1000.0,3,1,14,6,0.471,0.016,0
40,52953.99,20542.25,29335.67,19,3,6,29,0.388,0.554,1
28,40323.78,0.0,17951.04,9,0,11,17,0.0,0.445,0
27,43370.87,16322.73,1000.0,27,0,12,23,0.376,0.023,0
23,54209.41,9074.9,2519.82,24,1,14,5,0.167,0.046,0
37,46708.74,17349.78,14940.87,29,0,3,3,0.371,0.32,0
53,23188.94,2836.74,4229.95,5,3,6,2,0.122,0.182,1
32,68260.0,12898.33,29520.19,26,2,10,5,0.189,0.432,0
42,56082.52,9828.17,25022.87,23,0,4,25,0.175,0.446,0
42,55317.97,9518.34,24314.43,11,2,3,37,0.172,0.44,0
50,66751.25,9617.64,1000.0,29,1,6,10,0.144,0.015,0
58,33727.09,13641.45,13694.5,19,0,11,28,0.404,0.406,0
58,74274.63,17861.95,11628.6,15,4,6,19,0.24,0.157,0
28,47199.14,0.0,8551.35,2,1,2,9,0.0,0.181,0
47,67771.98,0.0,15017.9,13,1,9,25,0.0,0.222,0
47,64688.98,11613.09,6485.14,0,0,8,26,0.18,0.1,0
54,29223.96,13022.31,22582.65,9,2,6,13,0.446,0.773,1
41,60058.01,16891.11,29198.62,14,1,1,35,0.281,0.486,0
50,56525.49,7723.28,28164.6,6,0,12,11,0.137,0.498,0
53,50606.23,15094.65,18345.06,3,3,2,22,0.298,0.363,1
48,48112.56,16265.23,43990.88,13,0,4,20,0.338,0.914,1
53,48282.14,7654.42,33679.7,23,3,7,7,0.159,0.698,0
25,66253.79,25134.56,18781.3,15,4,9,38,0.379,0.283,0
39,61558.21,16769.86,14212.73,13,3,10,8,0.272,0.231,0
24,50609.58,20469.61,36056.33,2,2,5,23,0.404,0.712,1
55,20161.28,15688.46,32090.97,16,0,10,30,0.778,1.592,1
37,59888.87,36036.73,3074.87,20,3,2,24,0.602,0.051,0
64,64472.27,20963.97,33029.86,13,1,13,16,0.325,0.512,0
48,96008.2,10120.07,18147.52,17,0,11,28,0.105,0.189,0
50,71508.66,23209.67,9669.06,2,3,11,2,0.325,0.135,0
49,12016.47,0.0,1000.0,29,1,11,20,0.0,0.083,0
26,51568.59,16196.0,16773.01,21,0,1,7,0.314,0.325,0
55,86227.5,18191.6,19853.27,18,4,10,13,0.211,0.23,0
61,62470.98,16310.21,39047.93,2,1,14,38,0.261,0.625,0
57,56573.04,11662.21,31486.81,11,0,13,15,0.206,0.557,0
44,68004.57,4877.27,13005.36,21,2,14,17,0.072,0.191,0
49,37552.44,7106.53,24672.11,4,0,1,30,0.189,0.657,0
51,59561.8,16020.75,29914.99,9,2,5,10,0.269,0.502,0
55,44990.64,3864.81,21031.49,8,1,14,37,0.086,0.467,0
53,49607.53,32701.68,12954.15,0,1,7,19,0.659,0.261,1
41,66569.09,0.0,13613.93,12,0,9,3,0.0,0.205,0
52,31465.74,11765.62,24625.68,2,3,9,19,0.374,0.783,1
43,75759.65,16103.9,24955.77,18,0,8,30,0.213,0.329,0
53,41543.76,20074.21,16484.54,10,1,1,19,0.483,0.397,0
23,55213.26,5840.75,1000.0,15,0,5,10,0.106,0.018,0
38,21989.84,26342.95,4513.73,5,2,6,0,1.198,0.205,1
45,64396.75,1061.69,27436.27,23,1,6,17,0.016,0.426,0
62,78930.08,9338.71,1000.0,2,1,4,38,0.118,0.013,0
51,39707.17,21207.48,34210.17,18,2,1,32,0.534,0.862,1
23,27795.53,25401.89,32433.89,5,3,3,35,0.914,1.167,1
60,55559.66,959.99,20493.16,7,1,10,17,0.017,0.369,0
44,79096.21,41450.37,27175.17,21,5,4,30,0.524,0.344,0
52,21002.87,6025.08,26345.3,12,2,4,34,0.287,1.254,1
42,27873.84,1878.18,18597.52,11,1,13,38,0.067,0.667,0
43,40916.21,20027.15,3513.33,29,0,4,37,0.489,0.086,0
22,33593.12,11517.07,31607.28,9,2,14,14,0.343,0.941,1
47,33656.29,10039.48,36886.76,2,3,5,5,0.298,1.096,1
62,10000.0,20956.44,5496.91,3,4,13,7,2.096,0.55,1
22,61781.14,0.0,3064.94,0,1,11,39,0.0,0.05,0
46,56774.41,0.0,18358.44,12,1,9,21,0.0,0.323,0
37,16023.02,9025.77,12485.3,23,1,4,0,0.563,0.779,1
60,79143.92,25779.02,21739.39,3,0,9,12,0.326,0.275,0
53,83621.85,9459.45,34495.93,21,1,9,23,0.113,0.413,0
29,34981.89,30991.57,1000.0,10,3,1,20,0.886,0.029,1
63,73330.97,27010.15,38975.26,18,1,5,3,0.368,0.531,0
59,38540.04,17829.46,15119.98,10,1,9,6,0.463,0.392,0
49,53622.33,18397.24,26141.35,11,3,4,11,0.343,0.488,1
62,33284.76,17820.03,27424.71,10,1,5,12,0.535,0.824,1
46,94285.03,16597.18,28824.09,5,1,4,15,0.176,0.306,0
55,44079.66,11337.58,20742.9,11,1,13,5,0.257,0.471,0
45,52528.98,12498.12,23546.73,26,4,2,13,0.238,0.448,0
44,36241.25,4300.4,23468.26,8,4,10,30,0.119,0.648,1
33,87226.31,0.0,12436.61,24,0,2,35,0.0,0.143,0
27,87732.29,26040.71,1000.0,9,1,2,36,0.297,0.011,0
56,82618.58,16572.58,5369.77,2,3,13,34,0.201,0.065,0
40,69128.81,15062.11,18749.14,2,1,1,9,0.218,0.271,0
21,37504.21,18984.49,10558.32,19,1,3,16,0.506,0.282,1
28,66557.0,6716.03,10586.05,27,2,14,29,0.101,0.159,0
36,49859.14,4989.38,41591.01,22,1,11,6,0.1,0.834,0
34,76248.17,12163.15,30306.74,15,1,10,17,0.16,0.397,0
32,72318.04,28680.98,16975.09,2,1,1,18,0.397,0.235,0
43,37014.69,3312.59,28064.42,9,1,4,14,0.089,0.758,0
35,68956.52,0.0,14956.78,23,2,1,38,0.0,0.217,0
48,63640.69,9785.99,21328.68,10,2,4,21,0.154,0.335,0
54,10000.0,26427.0,25299.54,7,0,3,38,2.643,2.53,1
22,66018.73,0.0,14988.73,5,1,9,29,0.0,0.227,0
52,41364.08,3197.16,11776.99,19,0,1,19,0.077,0.285,0
43,32279.15,17635.47,34687.18,10,1,14,31,0.546,1.075,1
42,33134.79,40699.07,27369.36,27,1,8,24,1.228,0.826,1
45,47295.14,1417.88,1000.0,26,2,11,22,0.03,0.021,0
42,59601.19,1030.66,11982.37,20,0,9,4,0.017,0.201,0
42,22690.76,18386.98,10624.73,11,2,12,29,0.81,0.468,1
62,53796.96,27046.74,12546.34,15,2,7,38,0.503,0.233,0
26,61535.16,8759.01,30348.83,17,4,1,26,0.142,0.493,0
35,87236.12,0.0,20230.47,12,2,4,36,0.0,0.232,0
63,28466.2,19337.49,3324.44,21,1,10,6,0.679,0.117,0
57,43007.76,21148.41,15401.42,2,0,1,4,0.492,0.358,1
53,55233.26,32786.55,26500.85,14,1,4,14,0.594,0.48,1
28,72948.19,21569.47,17364.26,21,1,3,7,0.296,0.238,0
64,43915.52,23280.66,12263.89,27,1,2,8,0.53,0.279,0
64,73972.83,12378.55,23974.63,20,0,1,10,0.167,0.324,0
25,11252.75,39415.04,39418.31,13,1,6,21,3.503,3.503,1
59,24933.04,11018.58,25537.1,17,1,12,33,0.442,1.024,1
24,56972.89,8880.78,35611.3,27,4,7,34,0.156,0.625,0
26,21783.51,33095.15,13068.63,28,2,6,12,1.519,0.6,1
